id,sentiment,review
9352_10,1,"Most people, especially young people, may not understand this film. It looks like a story of loss, when it is actually a story about being alone. Some people may never feel loneliness at this level.<br /><br />Cheadles character Johnson reflected the total opposite of Sandlers character Fineman. Where Johnson felt trapped by his blessings, Fineman was trying to forget his life in the same perspective. Jada is a wonderful additive to the cast and Sandler pulls tears. Cheadle had the comic role and was a great supporter for Sandler.<br /><br />I see Oscars somewhere here. A very fine film. If you have ever lost and felt alone, this film will assure you that you're not alone.<br /><br />Jerry"
8459_3,0,"Some very interesting camera work and a story with much potential. But it never comes together as anything more than a student's graduate thesis in film school.<br /><br />There are two primary reasons for this. Fist, there is not a single likable character, not even a villain we might admire for his/her chutzpah. Secondly, all the acting is awful - even from veteran Willem DaFoe. The ham is so plentiful here, you feel like you're at a picnic - but one of those wretched company employee picnics where you drink too much cheap beer and get your hangover before you even stop drinking. Then you eat an underdone hotdog and throw up.<br /><br />All right, I'm being a little rough on a young director who might still go places - as I said, the camera work is quite good.<br /><br />But I feel cheated - the blurb for this film suggests we will get to watch a \Modern western\"", and the DVD packaging has pictures on it that suggest this as well - but nobody actually connected to the film's making seems to know that this is the kind of film they're supposed to be making.<br /><br />That betrayal is what hurts; but even without it, the fact remains that we don't like these characters, we feel embarrassed for the actors, the story is hopelessly muddled, and in the last analysis, we just don't care.<br /><br />I took it out of the DVD player about half way through. but the rental store wouldn't give me my money back.<br /><br />Now, that really hurts."""
12397_8,1,The first time you see The Second Renaissance it may look boring. Look at it at least twice and definitely watch part 2. It will change your view of the matrix. Are the human people the ones who started the war ? Is AI a bad thing ?
2050_7,1,"Everybody's got bills to pay, and that includes Christopher Walken.<br /><br />In Vietnam, a group a soldiers discover that the war is over and are heading back home when they spot a bunch of POWs, including Christopher Walken. Following a Mad Max 3 (!) Thunderdome fight, and a short massacre later. Walken and some Colombian guy split a dollar bill promising something or other.<br /><br />Cut to the present (1991), and Colombian guy is leading a revolution against El Presidente. He's successful at first, but after El Presidente threatens to crush folks with a tank, he's forced to surrender and is shot in the head on live television. This is shown in full gory detail as a news flash on American telly, which leads Walken to assemble the old squad (even though he wasn't actually part of that squad to begin with), in order to invade Colombia and gun down thousands of people.<br /><br />McBain is a monumentally stupid film, but for all that it's also a good laugh, and action packed too. This is one of those movies where logic is given a wide berth - how else could Walken shoot a fighter pilot in the head from another plane without suffering from decompression, or even breaking a window? Also, it seems that these guys can gun down scores of drug dealers in New York without the police bothering.<br /><br />There's plenty of b-movie madness to chew on here, from Michael Ironside's diabolical acting in the Vietnam sequence, to the heroic but entirely pointless death of one of the heroes, to the side splitting confrontation between Walken and El Presidente, and let's not forget the impassioned speech by the sister of the rebel leader, being watched on television in America (nearly brought a brown tear to my nether-eye, that bit).<br /><br />It's out there for a quid. Buy it if you have a sense of humour. See how many times you can spot the camera crew too."
5169_7,1,"I saw the last five or ten minutes of this film back in 1998 or 1999 one night when I was channel-surfing before going to bed, and really liked what I saw. Since then I've been on the lookout, scouring TV listings, flipping through DVD/VHS racks at stores, but didn't find a copy until recently when I found out some Internet stores sold it. Then, being a world-class procrastinator, I still didn't order it. Finally, I found a DVD copy in a Circuit City while visiting Portland, OR, a few weeks ago. Then it only took me about a month after returning home before sitting down and watching it.<br /><br />So, what do I think about the film? It's good. Not as good as I remembered and hoped for, but still well worth the $9.99 it cost me. After seeing the whole film for the first time I rate it as a 7/10, with potential to become an 8/10. I'll have to be less sleepy then, and have a better sound system to avoid rewinding to catch some dialogue."
3610_1,0,"A patient escapes from a mental hospital, killing one of his keepers and then a University professor after he makes his way to the local college. Next semester, the late prof's replacement and a new group of students have to deal with a new batch of killings. The dialogue is so clichéd it is hard to believe that I was able to predict lines in quotes. This is one of those cheap movies that was thrown together in the middle of the slasher era of the '80's. Despite killing the heroine off, this is just substandard junk. Horrible acting, horrible script, horrible effects, horrible horrible horrible!! \Splatter University\"" is just gunk to put in your VCR when you have nothing better to do, although I suggest watching your head cleaner tape, that would be more entertaining. Skip it and rent \""Girl's Nite Out\"" instead.<br /><br />Rated R for Strong Graphic Violence, Profanity, Brief Nudity and Sexual Situations."""
725_2,0,"This was an awful movie! Not for the subject matter, but for the delivery. I went with my girlfriend at the time (when the movie came out), expecting to see a movie about the triumph of the human spirit over oppression. What we saw was 2 hours of brutal police oppression, with no uplift at the end. The previews and ads made NO mention of this! Plus, for all that they played up whoopi goldberg, my recollection is that she is arrested and killed in the first 20 minutes! Again, the previews say nothing about this! (not that you would expect that, but it's just more of the problem). If I had known how depressing this movie would be, I would've never have seen it. Or at least, I would've been prepared for it. This was a bait and switch ad campaign, and I will NEVER see this movie again!"
225_9,1,"This film reminds me of 42nd Street starring Bebe Daniels and Ruby Keeler. When I watch this film a lot of it reminded me of 42nd Street, especially the character Eloise who's a temperamental star and she ends up falling and breaks her ankle, like Bebe Daniels did in 42nd Street and another performer gets the part and become a star. This film, like most race films, keeps people watching because of the great entertainment. Race films always showed Black Entertainment as it truly was that was popular in that time era. The Dancing Styles, The Music, Dressing Styles, You'll Love It. This movie could of been big if it was made in Hollywood, it would of had better scenery, better filming, and more money which would make any movie better. But its worth watching because it is good and Micheaux does good with the little he has. I have to say out of all Micheaux's films, Swing is the best! The movie features singers, dancers, actresses, and actors who were popular but forgotten today. Doli Armena, a awesome female trumpet player who can blow the horn so good that you think Gabriel is blowing a horn in the sky. The sexy, hot female dancer Consuela Harris would put Ann Miller and Gyspy Rose Lee to shame.<br /><br />Adding further info... Popular blues singer of the 20's and 30's Cora Green is the focus of the film, she's Mandy, a good, hard working woman with a no good man who takes her money and spend it on other women. A nosy neighbor played by Amanda Randolph tells Mandy what she seen and heard and Mandy goes down to the club and catches her man with an attractive, curvy woman by the name of Eloise (played Hazel Diaz, a Hot-Cha entertainer in the 30's) and a fight breaks out. Then Mandy goes to Harlem where she reunites with a somewhat guardian angel Lena played by one of the most beautiful women in movies Dorothy Van Engle. Lena provides Mandy with a home, a job, and helps her become a star when temperamental Cora Smith (played by Hazel, I guess she's playing two parts or maybe she changed her stage name) tries to ruin the show with her bad behavior. When Cora gets drunk and breaks her leg, Lena convinces everyone that Mandy is right for the job and Lena is right and a star is born in Mandy. Tall, long, lanky, but handsome Carman Newsome is the cool aspiring producer who Lena looks out for as well. Pretty boy Larry Seymour plays the no good man but after Lena threatens him, he might shape up. There are a few highlights but the one that sticks out to me is the part where Cora Smith (Hazel Diaz) struts in late for rehearsal and goes off on everyone and then her man comes in and punches her in the jaw but that's not enough, she almost gets into a fight with Mandy again. In between there's great entertainment by chorus girls, tap dancers, shake dancers, swing music, and blues singing. There's even white people watching the entertainment, I wonder where Micheaux found them, there's even a scene where there's blacks and whites sitting together at the club, Micheaux frequently integrated blacks and whites in his films, he should be commended for such a bold move.<br /><br />This movie was the first race film I really enjoyed and it helped introduced me to Oscar Micheaux. This movie is one of the best of the race film genre, its a behind the scenes story about the ups and downs of show business.<br /><br />No these early race films may not be the best, can't be compared with Hallelujah, Green Pastures, Stormy Weather, Cabin In The Sky, Carmen Jones, or any other Hollywood films but their great to watch because their early signs of black film-making and plus these films provide a glimpse into black life and black entertainment through a black person's eyes. These films gave blacks a chance to play people from all walks of life, be beautiful, classy, and elegant, and not just be stereotypes or how whites felt blacks should be portrayed like in Hollywood. Most of the actors and actresses of these race films weren't the best, but they were the only ones that could be afforded at the time, Micheaux and Spencer Williams couldn't afford Nina Mae McKinney, Josephine Baker, Ethel Waters, Fredi Washington, Paul Robeson, Rex Ingram, and more of the bigger stars, so Micheaux and other black and white race film-makers would use nightclub performers in their movies, some were good, some weren't great actors and actresses, but I think Micheaux and others knew most weren't good actors and actresses but they were used more as apart of an experiment than for true talent, they just wanted their stories told, and in return many black performers got to perform their true talents in the films. For some true actors/actresses race films were the only type of films they could get work, especially if they didn't want to play Hollywood stereotypes, so I think you'll be able to spot the true actors/actresses from the nightclub performers. These race films are very historic, they could have been lost forever, many are lost, maybe race films aren't the greatest example of cinema but even Hollywood films didn't start out great in the beginning. I think if the race film genre continued, it would have better. If your looking for great acting, most race films aren't the ones, but if your looking for a real example of black entertainment and how blacks should have been portrayed in films, than watch race films. There are some entertaining race films with a good acting cast, Moon Over Harlem, Body and Soul, Paradise In Harlem, Keep Punching, Sunday Sinners, Dark Manhattan, Broken Strings, Boy! What A Girl, Mystery In Swing, Miracle In Harlem, and Sepia Cinderella, that not only has good entertainment but good acting."
3617_2,0,"Really, really bad slasher movie. A psychotic person escapes from an asylum. Three years later he kills a sociology professor, end of scene. One semester yesterday later (hey, that's what the title card said) a new sociology professor is at the school. She makes friends with another female sociology professor who works there, and starts dating another professor. The students are all bored, as are we.<br /><br />There are a number of title cards indicating how much time has passed. Scenes are pretty short, and cut to different characters somewhere else, making for little progression of any kind. A lot of scenes involve characters walking and talking, or sitting and talking, and serve little purpose. Despite the passage of time, many of the characters are always wearing the same clothing. Sometimes the unclear passage of time means when we see a body for the second time, we ask ourselves: how long has that body been there? And also, at least one of the dead people don't seem to have been missed by others.<br /><br />The killer manages to kill one person by stabbing her in the breast, another by stabbing him in the crotch, and another by slicing her forehead. Is his knife poisoned or something?<br /><br />The video box cover has a cheerleader: there aren't any in the movie. The rear cover has a photo of someone in a graduation cap and gown menacing a group of women in a dorm room. The central redhead in the photo is in the movie, but nobody ever wears such an outfit, and there is no such scene. The killer is strictly one-on-one."
8671_7,1,"Armageddon PPV<br /><br />The last PPV of 2006<br /><br />Smackdown brand.<br /><br />Match Results Ahead********<br /><br />We are starting the show with The Inferno match. Kane v. MVP. This was an okay match. Nothing about wrestling here. This was about the visuals. Overall, this was not bad. There were a few close spots here with Kane getting too close to the fire, but in the end, Kane won with ramming MVP into the fire back first.<br /><br />Nice opener. Let's continue.<br /><br />Teddy Long announces a new match for the tag team titles: London and Kendrick will defend against: Regal and Taylor, The Hardyz, and MNM IN A LADDER MATCH!!!! Let's get moving!<br /><br />Match two: Fatal four way ladder match. This was total carnage. Judging by three out of the four teams here, you would expect chaos. The spots were amazing. A total spot-fest. One point Jeff went for Poetry in Motion and London moved and Jeff hit the ladder! Shortly afterword, Jeff is set on the top rope with two ladders nearby as MNM were going to kill Jeff, Matt makes the save and Jeff hits the \see-saw\"" shot to Joey Mercury! Mercury is hurt. His eye is shut quickly and is busted open hard way. Mercury is taken out of the match and Nitro is still there. He is going to fight alone for the titles! Regal and Taylor then grab London and suplex him face-first into the ladder! Jeff climbs the ladder and Nitro in a killer spot, dropkicks through the ladder to nail Jeff! Awesome! In the end, London and Kendrick retain the tag team titles. What a match!!!<br /><br />This was insane. I can't figure out why WWE did not announce this till now. The Buyrate would increase huge. I'm sure the replay value will be good though.<br /><br />Mercury has suffered a shattered nose and lacerations to the eye. He is at the hospital now. Get well kid.<br /><br />No way anything else here will top that.<br /><br />Next up: The Miz v. Boogeyman.(Ugh) This was a nothing match. Will the Boogeyman ever wrestle? The Miz sucks too. After a insane crowd, this kills them dead. DUD.<br /><br />Chris Benoit v. Chavo. This was a strong match. I enjoyed it. Chavo hit a killer superplex at one point! Benoit hit EIGHT German suplexes too! Benoit wins with the sharpshooter. Good stuff.<br /><br />Helms v. Yang-Cruiserweight title championship match. This was a good match. Unfortunately, the stupid fans did not care for this. WHY? Helms and Yang are very talented and wrestled well. I agree with JBL. He ranted to the crowd. JBL is 100% correct. Learn to appreciate this or get out. <br /><br />Mr. Kennedy v. The Undertaker-Last Ride match. Not too much here. This was a slug fest, with a few exceptions. Kennedy at one point tossed Taker off the top of the stage to the floor. The spot was fine. Reaction was disappointing. The end spot was Taker tomb-stoned Kennedy on the hearse and won the match. Unreal. Kennedy needed this win. They both worker hard. Still, Kennedy needed this win. Undertaker should have lost. Creative screwed up again.<br /><br />A stupid diva thing is next. I like women. Not this. At least Torrie was not here. That's refreshing. Judging from the crowd, Layla should have won. The WWE wanted Ashley. Consider this your bathroom break. Next.<br /><br />Main Event: Cena & Batista v. Finlay & Booker T. This was also a nothing match. The focus was Cena v. Finlay and Batista v. Booker. Batista and Booker can't work well together. Finlay tries to make Cena look good. The finish was botched. Finlay hit Batista's knee with a chair shot and Batista no-sold the shot and finished the match. Lame. Not main event caliber at all.<br /><br />Overall, Armageddon would have scored less, but the ladder match WAS the main event here. That was enough money's worth right there. A few others were solid. <br /><br />The Last Word: A good PPV with the ladder match being the savior. Smackdown is not a bad show just is not compelling enough. Smackdown needs to stop letting Cena tag along. Let Smackdown stand on their own two legs. This show proves that Smackdown can."""
