,Actual,Prediction
0,Neutral,Positive
1,Neutral,Neutral
2,Negative,Negative
3,Neutral,Neutral
4,Neutral,Neutral
5,Negative,Negative
6,Neutral,Neutral
7,Neutral,Neutral
8,Neutral,Positive
9,Neutral,Negative
10,Positive,Positive
11,Neutral,Neutral
12,Positive,Neutral
13,Negative,Neutral
14,Negative,Neutral
15,Positive,Positive
16,Positive,Neutral
17,Neutral,Neutral
18,Negative,Positive
19,Negative,Neutral
20,Negative,Positive
21,Positive,Positive
22,Negative,Negative
23,Neutral,Neutral
24,Positive,Positive
25,Neutral,Neutral
26,Positive,Positive
27,Neutral,Neutral
28,Negative,Neutral
29,Neutral,Neutral
30,Neutral,Neutral
31,Negative,Neutral
32,Neutral,Neutral
33,Negative,Neutral
34,Neutral,Neutral
35,Positive,Neutral
36,Neutral,Neutral
37,Negative,Neutral
38,Positive,Neutral
39,Positive,Neutral
40,Negative,Neutral
41,Positive,Neutral
42,Positive,Neutral
43,Neutral,Neutral
44,Neutral,Neutral
45,Positive,Neutral
46,Positive,Positive
47,Neutral,Neutral
48,Negative,Neutral
49,Negative,Neutral
50,Positive,Positive
51,Positive,Neutral
52,Negative,Neutral
53,Neutral,Neutral
54,Positive,Neutral
55,Positive,Neutral
56,Negative,Neutral
57,Negative,Neutral
58,Neutral,Neutral
59,Negative,Negative
60,Neutral,Neutral
61,Neutral,Neutral
62,Positive,Positive
63,Positive,Positive
64,Positive,Positive
65,Positive,Positive
66,Positive,Neutral
67,Negative,Neutral
68,Neutral,Negative
69,Positive,Positive
70,Positive,Positive
71,Positive,Neutral
72,Positive,Positive
73,Negative,Neutral
74,Positive,Neutral
75,Neutral,Neutral
76,Negative,Negative
77,Neutral,Neutral
78,Neutral,Neutral
79,Neutral,Neutral
80,Neutral,Negative
81,Neutral,Neutral
82,Neutral,Neutral
83,Positive,Positive
84,Neutral,Neutral
85,Negative,Positive
86,Neutral,Negative
87,Neutral,Positive
88,Negative,Neutral
89,Negative,Neutral
90,Negative,Neutral
91,Positive,Neutral
92,Neutral,Neutral
93,Neutral,Neutral
94,Neutral,Neutral
95,Neutral,Neutral
96,Neutral,Neutral
97,Positive,Neutral
98,Positive,Neutral
99,Neutral,Neutral
100,Neutral,Neutral
101,Neutral,Neutral
102,Negative,Neutral
103,Negative,Neutral
104,Negative,Neutral
105,Neutral,Neutral
106,Negative,Neutral
107,Positive,Positive
108,Neutral,Neutral
109,Neutral,Neutral
110,Negative,Positive
111,Neutral,Neutral
112,Negative,Neutral
113,Negative,Neutral
114,Negative,Negative
115,Neutral,Neutral
116,Neutral,Neutral
117,Negative,Negative
118,Negative,Neutral
119,Neutral,Neutral
120,Negative,Neutral
121,Negative,Neutral
122,Positive,Neutral
123,Neutral,Neutral
124,Positive,Positive
125,Neutral,Negative
126,Neutral,Neutral
127,Positive,Neutral
128,Neutral,Neutral
129,Neutral,Neutral
130,Neutral,Neutral
131,Positive,Neutral
132,Neutral,Neutral
133,Negative,Neutral
134,Neutral,Neutral
135,Positive,Neutral
136,Negative,Negative
137,Negative,Negative
138,Neutral,Neutral
139,Neutral,Neutral
140,Negative,Neutral
141,Negative,Negative
142,Neutral,Neutral
143,Negative,Neutral
144,Neutral,Neutral
145,Negative,Neutral
146,Neutral,Neutral
147,Positive,Neutral
148,Neutral,Neutral
149,Negative,Neutral
150,Positive,Neutral
151,Negative,Negative
152,Positive,Neutral
153,Neutral,Neutral
154,Positive,Neutral
155,Positive,Neutral
156,Neutral,Neutral
157,Neutral,Neutral
158,Positive,Neutral
159,Negative,Neutral
160,Neutral,Neutral
